Site,Depth,Sand,Silt,Clay,BulkD,Th33,Th1500,Theta_r,Theta_s,Alpha,N,Ks,Ko,L
WEST,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WEST,25,11.2,60.7,28.2,1.35,0.229,0.085,0.037,0.403,0.142,1.41,13.8,7,-0.3
WEST,45,12,51.2,36.8,1.12,0.213,0.127,0.071,0.484,0.476,1.41,19,37.3,-1.36
WEST,60,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WEST,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WILB,5,33.1,51.7,15.1,1.42,0.28,0.083,0.036,0.382,0.043,1.61,20.6,1.8,0.6
WILB,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WILB,25,27.8,51.3,20.9,1.62,0.282,0.108,0.043,0.361,0.047,1.51,6.4,1.6,0.32
WILB,45,21.1,32.6,46.3,1.35,0.335,0.203,0.079,0.469,0.154,1.29,21.7,4.5,-1.04
WILB,60,17.6,19.8,62.6,1.29,0.369,0.251,0.094,0.513,0.228,1.23,39.8,6.8,-2.18
WILB,75,8.7,27.4,63.9,1.37,0.365,0.271,0.105,0.489,0.321,1.2,24.9,7.8,-3.34
WIST,5,17.5,61.8,20.8,1.51,0.323,0.115,0.053,0.398,0.028,1.7,10.7,1,0.66
WIST,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WIST,25,9.9,61.2,28.9,1.45,0.27,0.126,0.052,0.405,0.115,1.38,12.2,4.2,-0.35
WIST,45,5.6,29.2,65.2,1.41,0.397,0.283,0.087,0.487,0.179,1.19,13.3,4.2,-2.53
WIST,60,8.8,17.9,73.3,1.34,0.421,0.283,0.082,0.515,0.109,1.22,20.1,2.8,-1.07
WIST,75,4.4,24.9,70.8,1.44,0.417,0.288,0.079,0.486,0.105,1.21,9.8,2.4,-1.34
WOOD,5,35.3,36.2,28.6,1.37,0.226,0.096,0.042,0.412,0.184,1.37,25.5,9.2,-0.63
WOOD,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WOOD,25,38.2,37,24.9,1.3,0.213,0.088,0.038,0.423,0.232,1.36,31.3,13.8,-0.76
WOOD,45,39.3,36,24.6,1.22,0.165,0.077,0.038,0.443,0.474,1.4,42.7,41.4,-1.16
WOOD,60,38.9,36.3,24.8,1.3,0.159,0.079,0.042,0.421,0.474,1.43,39.4,36.2,-1.19
WOOD,75,42.6,31.9,25.5,1.33,0.155,0.082,0.046,0.418,0.497,1.45,51.2,37.1,-1.22
WYNO,5,25.4,48.3,26.3,1.05,0.335,0.152,0.059,0.505,0.095,1.41,69.3,4.1,0.24
WYNO,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
WYNO,25,34.2,37,28.8,1.41,0.327,0.201,0.071,0.438,0.162,1.28,11.4,4.8,-1.16
WYNO,45,31.7,31.6,36.7,0.92,-9.9,0.144,0.1,0.588,0.16,1.4,128,6.6,-0.69
WYNO,60,27.1,35.2,37.7,1.29,0.369,0.184,0.072,0.478,0.055,1.44,16.4,1.6,0.4
WYNO,75,9.8,37.2,53,1.69,-9.9,0.311,0.087,0.394,0.157,1.25,2.1,3.1,-1.78
