Site,Depth,Sand,Silt,Clay,BulkD,Th33,Th1500,Theta_r,Theta_s,Alpha,N,Ks,Ko,L
IDAB,25,5,32.1,62.9,1.17,0.352,0.237,0.111,0.541,0.302,1.25,41.7,10.1,-2.31
IDAB,45,5,26.3,68.7,1.31,0.383,0.285,0.109,0.513,0.32,1.2,27.4,8.3,-3.48
IDAB,60,4.6,27.7,67.7,1.41,0.435,0.307,0.081,0.498,0.113,1.19,8.6,2.6,-1.72
IDAB,75,4.9,27.6,67.5,1.42,0.386,0.303,0.107,0.481,0.36,1.17,14.7,7.7,-4.57
INOL,5,33.4,48.2,18.4,1.42,0.317,0.128,0.051,0.406,0.043,1.55,15.3,1.5,0.52
INOL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
INOL,25,20.7,37.5,41.9,1.14,0.303,0.172,0.078,0.508,0.231,1.32,40.4,10.3,-1.16
INOL,45,5.4,16.6,78,1.28,0.485,0.305,0.083,0.545,0.04,1.31,12.6,1,0.64
INOL,60,5.6,21.7,72.8,1.45,0.476,0.297,0.077,0.498,0.025,1.34,4.1,0.6,1
INOL,75,18,28.6,53.4,1.52,0.374,0.262,0.076,0.444,0.159,1.2,7.3,3.8,-2.26
JAYX,5,7.4,74.5,18.1,1.56,0.342,0.092,0.058,0.406,0.015,2.05,8.8,0.7,0.77
JAYX,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
JAYX,25,6.7,70.8,22.5,1.88,0.32,0.128,0.05,0.356,0.023,1.57,0.7,0.7,0.53
JAYX,45,4.9,68.2,26.9,1.61,0.337,0.128,0.061,0.405,0.024,1.7,4.4,0.8,0.66
JAYX,60,4,44.3,51.8,1.42,0.424,0.262,0.082,0.488,0.054,1.3,4.8,1.2,0.15
JAYX,75,7.2,42.3,50.4,1.52,-9.9,0.306,0.094,0.445,0.14,1.32,4.2,2.9,-1.06
KENT,5,14.8,36.2,48.9,1.42,0.272,0.177,0.09,0.441,0.312,1.29,24.5,9.2,-1.9
KENT,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
KENT,25,15.9,39.9,44.3,1.42,0.257,0.159,0.081,0.43,0.295,1.31,20.5,9.5,-1.67
KENT,45,12.3,44.5,43.2,1.6,0.337,0.238,0.077,0.41,0.227,1.19,3.2,5.2,-3.05
KENT,60,1.6,68.6,29.8,1.6,0.271,0.253,0.222,0.37,0.58,1.64,7.3,1.9,-2.34
KENT,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
KETC,5,44.2,33.3,22.6,1.45,0.278,0.111,0.043,0.397,0.072,1.45,14.1,2.7,0.2
KETC,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
KETC,25,34.9,29.1,36,1.46,0.322,0.16,0.06,0.425,0.069,1.4,10.9,2.1,0.11
KETC,45,19.2,28.6,52.1,1.57,0.388,0.248,0.067,0.434,0.067,1.25,3.8,1.6,-0.32
KETC,60,20.5,27.4,52.1,1.66,0.38,0.249,0.061,0.411,0.069,1.23,2.2,1.7,-0.64
KETC,75,37.2,19.6,43.1,1.71,0.357,0.211,0.053,0.384,0.045,1.3,1.9,1.2,0.14
KIN2,5,54.7,26.4,18.9,1.57,0.171,0.061,0.028,0.353,0.246,1.37,38,12.9,-0.98
KIN2,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
KIN2,25,52.7,21.4,25.8,1.59,0.191,0.078,0.036,0.363,0.215,1.36,40.7,10.1,-0.94
KIN2,45,30.3,27.5,42.2,1.55,0.269,0.154,0.063,0.399,0.176,1.3,19.1,5.5,-1.17
KIN2,60,2.9,58.8,38.3,1.65,0.272,0.188,0.078,0.378,0.351,1.22,3.8,8.3,-2.98
KIN2,75,0.5,65.9,33.6,1.59,0.276,0.16,0.063,0.39,0.19,1.27,5.4,5.7,-1.46
LAHO,5,21.3,59.8,18.9,1.37,0.254,0.094,0.037,0.394,0.095,1.44,25.1,4.2,0.04
LAHO,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
LAHO,25,13.2,53.9,33,1.44,0.283,0.153,0.063,0.418,0.151,1.33,11.3,5,-0.82
LAHO,45,14.1,51.8,34.1,1.54,0.28,0.171,0.068,0.398,0.213,1.27,7.6,6.2,-1.62
LAHO,60,12.6,51.3,36.1,1.62,0.29,0.185,0.068,0.387,0.214,1.24,4.6,5.7,-2.01
LAHO,75,8,57.3,34.7,1.53,0.291,0.174,0.069,0.406,0.183,1.28,7.2,5.3,-1.41
LANE,5,37.8,51.5,10.7,1.3,0.24,0.047,0.022,0.381,0.066,1.53,41.6,3.4,0.51
LANE,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
LANE,25,46.8,41.3,11.9,1.45,0.184,0.028,0.018,0.351,0.121,1.44,28.9,6.8,-0.13
LANE,45,45.6,41.2,13.1,1.46,0.204,0.043,0.021,0.356,0.101,1.46,24.9,5.3,0.01
LANE,60,48,41.4,10.7,1.51,0.189,0.032,0.018,0.339,0.107,1.45,25.1,5.7,-0.08
LANE,75,42.2,39,18.9,1.68,0.31,0.123,0.046,0.359,0.03,1.57,2.9,1,0.5
MADI,5,57.5,37.5,5,1.49,0.181,0.036,0.017,0.344,0.147,1.41,38.8,8.5,-0.36
MADI,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MADI,25,56.2,37.5,6.3,1.52,0.125,0.029,0.018,0.338,0.377,1.39,49,24.1,-1.16
MADI,45,47.3,32,20.7,1.59,0.234,0.121,0.045,0.363,0.195,1.32,13.7,7.6,-1.11
MADI,60,48.4,30.2,21.4,1.68,0.227,0.132,0.049,0.345,0.262,1.29,10.5,9.1,-1.68
MADI,75,33.5,45.2,21.3,1.68,0.231,0.131,0.048,0.341,0.241,1.29,8.3,8.3,-1.63
MANG,5,88.7,5,6.3,1.52,0.071,0.017,0.017,0.381,0.638,1.58,454.3,65.3,-1.02
MANG,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MANG,25,90.3,4.7,5,1.63,0.061,0.02,0.02,0.352,0.607,1.73,427.6,61.4,-0.96
MANG,45,90,3.3,6.7,1.58,0.058,0.02,0.02,0.366,0.615,1.79,594.2,67.6,-0.93
MANG,60,88.3,4.2,7.5,1.71,0.183,0.039,0.02,0.331,0.12,1.41,25.2,6.3,-0.27
MANG,75,86.6,6.3,7.1,1.61,0.065,0.03,0.03,0.355,0.591,1.82,423.7,60.2,-0.95
MARE,5,38.6,35.2,26.3,1.63,0.307,0.134,0.049,0.374,0.042,1.48,3.5,1.3,0.37
MARE,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MARE,25,42.3,32,25.7,1.51,0.292,0.134,0.049,0.395,0.074,1.41,9.2,2.5,0.05
MARE,45,35.8,26.8,37.4,1.49,0.284,0.182,0.074,0.418,0.252,1.27,18.5,7.6,-1.77
MARE,60,40.3,24.6,35.1,1.66,0.314,0.187,0.055,0.379,0.101,1.27,3.8,2.9,-0.78
MARE,75,38,31,31,1.73,0.287,0.164,0.049,0.353,0.11,1.28,2.8,3.3,-0.91
MAYR,5,44.2,34.3,21.6,1.58,0.248,0.086,0.035,0.359,0.07,1.47,10.8,2.7,0.12
MAYR,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MAYR,25,41.9,32.6,25.5,1.47,0.283,0.104,0.044,0.393,0.055,1.51,11.8,2,0.39
MAYR,45,23.8,39.4,36.8,1.37,0.305,0.155,0.063,0.441,0.105,1.37,15.3,3.4,-0.27
MAYR,60,14.3,41.6,44.2,1.56,0.358,0.241,0.073,0.425,0.145,1.21,3.3,3.5,-1.88
MAYR,75,17,41.5,41.5,1.57,0.339,0.222,0.071,0.415,0.149,1.23,3.9,3.8,-1.68
MCAL,5,66.2,25,8.8,1.32,0.112,0.028,0.019,0.41,0.56,1.41,143.1,52.3,-1.18
MCAL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MCAL,25,29.5,27.3,43.2,1.51,0.34,0.223,0.072,0.429,0.159,1.24,8.7,4.2,-1.58
MCAL,45,18.7,32.6,48.7,1.58,0.387,0.263,0.068,0.429,0.1,1.2,2.4,2.4,-1.4
MCAL,60,53.6,10.8,35.6,1.7,0.308,0.193,0.052,0.373,0.125,1.24,5.7,3.7,-1.26
MCAL,75,58.3,10.1,31.6,1.7,0.28,0.173,0.052,0.365,0.168,1.25,8.6,5.3,-1.53
MEDF,5,15.9,66.4,17.7,1.25,0.311,0.099,0.044,0.43,0.041,1.64,44.6,1.7,0.8
MEDF,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MEDF,25,13,60.8,26.2,1.46,0.315,0.16,0.061,0.418,0.082,1.38,12.7,2.4,-0.12
MEDF,45,5.6,49.2,45.2,1.49,0.459,0.329,0.079,0.482,0.102,1.17,1.4,2.1,-2.27
MEDF,60,4.5,45.1,50.4,1.55,0.424,0.353,0.104,0.451,0.464,1.12,1,6.6,-9.33
MEDF,75,6.4,45.5,48.1,1.68,-9.9,0.329,0.086,0.396,0.137,1.29,1.7,2.7,-1.27
MEDI,5,63.6,18.9,17.6,1.7,0.234,0.094,0.033,0.34,0.101,1.38,9,4,-0.32
MEDI,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MEDI,25,76.2,5.6,18.1,1.57,0.185,0.092,0.041,0.385,0.349,1.34,77.1,18,-1.38
MEDI,45,74.9,5.7,19.5,1.5,0.292,0.106,0.04,0.4,0.054,1.49,20.6,2.1,0.5
MEDI,60,58.3,5.7,36.1,1.72,0.368,0.215,0.049,0.379,0.035,1.32,1.7,1,0.42
MEDI,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MIAM,5,15.6,60.5,23.9,1.2,0.282,0.055,0.032,0.423,0.043,1.66,25.2,2.1,0.91
MIAM,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MIAM,25,23.4,62.2,14.4,1.43,0.257,0.055,0.028,0.366,0.043,1.65,24.1,1.9,0.61
MIAM,45,18.9,54.5,26.6,1.39,0.401,0.111,0.078,0.449,0.011,2.24,8.3,0.6,0.68
MIAM,60,9.5,28,62.5,1.38,0.476,0.292,0.081,0.51,0.028,1.36,5.5,0.7,0.92
MIAM,75,3.8,41,55.3,1.51,0.457,0.282,0.078,0.479,0.027,1.34,1.5,0.6,0.82
MINC,5,18.7,61.1,20.2,1.5,0.277,0.112,0.044,0.384,0.069,1.46,15.8,2.5,0.15
MINC,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MINC,25,14.1,68.2,17.7,1.59,0.288,0.112,0.044,0.373,0.05,1.51,12.7,1.7,0.33
MINC,45,11.7,73.1,15.1,1.89,0.28,0.137,0.04,0.329,0.084,1.3,1.8,2.7,-0.54
MINC,60,12.6,74.2,13.2,1.93,0.28,0.137,0.039,0.322,0.082,1.29,1.3,2.7,-0.58
MINC,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MRSH,5,19.9,63,17,1.32,0.339,0.116,0.054,0.43,0.029,1.74,33.4,1.1,0.82
MRSH,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MRSH,25,8.3,52.9,38.8,1.38,0.389,0.231,0.082,0.477,0.075,1.32,9,1.8,-0.17
MRSH,45,6.7,47.3,46,1.57,0.419,0.302,0.074,0.447,0.131,1.16,1,2.8,-3.06
MRSH,60,11.4,47.8,40.8,1.64,0.37,0.266,0.072,0.411,0.186,1.16,1.3,4.1,-3.64
MRSH,75,13,47.6,39.4,1.67,0.365,0.28,0.078,0.401,0.299,1.14,1,5.5,-5.85
MTHE,5,46.6,44,9.4,1.44,0.21,0.065,0.024,0.364,0.137,1.41,34.2,7.3,-0.3
MTHE,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
MTHE,25,44.2,46.4,9.4,1.68,0.183,0.034,0.019,0.305,0.102,1.45,15.8,5.3,-0.2
MTHE,45,37.8,40.2,22,1.64,0.232,0.11,0.041,0.348,0.152,1.34,9.3,5.8,-0.83
MTHE,60,36.3,37.2,26.5,1.65,0.266,0.143,0.049,0.36,0.135,1.31,5.6,4.4,-0.9
MTHE,75,36.9,34.7,28.4,1.66,0.27,0.147,0.05,0.361,0.131,1.3,5.3,4.2,-0.89
NEWK,5,13.6,56.6,29.9,1.47,0.31,0.164,0.063,0.419,0.099,1.35,10.2,2.9,-0.36
NEWK,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
NEWK,25,14.9,47.4,37.7,1.34,0.328,0.162,0.068,0.454,0.076,1.41,13.5,2.3,0.07
NEWK,45,8.5,47,44.4,1.45,0.349,0.202,0.075,0.45,0.091,1.32,7.6,2.3,-0.39
NEWK,60,5.1,55.1,39.7,1.41,0.33,0.166,0.07,0.446,0.071,1.41,8.9,2,0.06
NEWK,75,8.7,54.2,37,1.53,0.327,0.162,0.064,0.418,0.057,1.42,5.1,1.6,0.18
NEWP,5,53.6,41.4,5,1.43,0.278,0.048,0.027,0.363,0.03,1.75,26.4,1.4,0.79
NEWP,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
NEWP,25,69.3,21.3,9.4,1.54,0.106,0.043,0.027,0.36,0.552,1.49,110.8,41.4,-1.18
NEWP,45,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
NEWP,60,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
NEWP,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
NINN,5,43.8,36.6,19.6,1.32,0.267,0.106,0.04,0.418,0.103,1.42,26.1,4.7,0.03
NINN,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
NINN,25,43.9,34,22.1,1.45,0.217,0.104,0.043,0.39,0.234,1.35,25.2,11,-1.02
NINN,45,33.6,36.7,29.7,1.37,0.238,0.128,0.057,0.421,0.257,1.34,23.9,11.3,-1.18
NINN,60,29.1,33.6,37.4,1.38,0.277,0.163,0.071,0.439,0.228,1.31,23.1,8,-1.32
NINN,75,33.4,31.1,35.6,1.64,0.3,0.192,0.061,0.381,0.174,1.24,4.6,4.8,-1.74
NOWA,5,22,59.2,18.9,1.33,0.361,0.12,0.062,0.436,0.021,1.86,23.6,0.9,0.84
NOWA,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
NOWA,25,18.1,59.9,22.1,1.52,0.339,0.106,0.057,0.402,0.019,1.88,7.6,0.8,0.75
NOWA,45,20.1,55.4,24.5,1.37,0.288,0.101,0.045,0.409,0.053,1.55,16.6,2.1,0.49
NOWA,60,15.2,45.9,39,1.45,0.363,0.195,0.072,0.448,0.056,1.39,6.4,1.4,0.22
NOWA,75,10,38.3,51.7,1.33,0.365,0.229,0.086,0.49,0.141,1.27,18.2,3.7,-1.08
NRMN,5,8.3,49,42.7,1.41,0.357,0.179,0.074,0.457,0.051,1.45,8.3,1.3,0.34
NRMN,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
NRMN,25,17.7,48.4,33.9,1.27,0.25,0.138,0.065,0.45,0.274,1.34,20,12.6,-1.2
NRMN,45,12.4,38.4,49.2,1.21,0.363,0.214,0.087,0.514,0.136,1.31,29.5,4,-0.76
NRMN,60,12.5,41.5,46,1.71,-9.9,0.28,0.083,0.381,0.145,1.27,1.7,2.9,-1.44
NRMN,75,17,39.6,43.4,1.66,0.378,0.266,0.066,0.407,0.13,1.17,1,3,-2.63
OILT,5,45.8,40.3,13.9,1.73,0.285,0.1,0.038,0.337,0.033,1.58,3.5,1.1,0.43
OILT,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
OILT,25,52.1,34,13.9,1.61,0.216,0.084,0.031,0.344,0.139,1.37,15.6,6.3,-0.55
OILT,45,43.1,39.8,17.1,1.53,0.221,0.095,0.036,0.362,0.165,1.36,17.6,7.4,-0.7
OILT,60,48.3,35.3,16.4,1.5,0.203,0.092,0.036,0.371,0.242,1.35,27.1,11.8,-1.03
OILT,75,41.9,35.4,22.7,1.61,0.266,0.112,0.042,0.362,0.074,1.42,7.3,2.6,-0.01
OKCE,5,37.3,37,25.7,1.46,0.218,0.087,0.037,0.383,0.161,1.38,19.7,7.5,-0.56
OKCE,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
OKCE,25,76.2,8.8,15,1.39,0.124,0.044,0.027,0.422,0.554,1.41,276.8,51,-1.21
OKCE,45,81.8,6.3,11.9,1.77,0.156,0.049,0.023,0.321,0.234,1.35,36.3,12.1,-1.02
OKCE,60,73.1,14.4,12.5,1.85,0.168,0.058,0.024,0.299,0.195,1.34,14,9.5,-1
OKCE,75,83.7,7.5,8.8,1.56,0.105,0.036,0.024,0.372,0.546,1.45,212.3,42,-1.2
OKCN,5,15.7,52.5,31.9,1.25,0.381,0.17,0.077,0.482,0.036,1.59,21.2,1.1,0.65
OKCN,10,18.6,50.2,31.3,1.36,0.339,0.177,0.069,0.451,0.079,1.39,14.4,2.3,-0.01
OKCN,25,7.5,43.5,48.9,1.47,0.374,0.252,0.081,0.457,0.148,1.22,5.7,3.5,-1.77
OKCN,45,3.8,44.2,52,1.56,0.351,0.238,0.077,0.431,0.164,1.21,4.3,3.9,-2.11
OKCN,60,10,38.8,51.2,1.56,0.388,0.267,0.073,0.44,0.118,1.2,2.8,2.7,-1.8
OKCN,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
OKCW,5,26.3,42.9,30.7,1.43,0.362,0.204,0.07,0.443,0.071,1.35,7.6,1.9,-0.03
OKCW,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
OKCW,25,27,48,25,1.58,0.324,0.147,0.055,0.39,0.041,1.49,4.4,1.2,0.41
OKCW,45,20.3,56.1,23.6,1.69,0.287,0.153,0.05,0.362,0.104,1.3,4.6,3.2,-0.67
OKCW,60,21.6,59.2,19.1,1.61,0.295,0.129,0.048,0.372,0.056,1.45,8.8,1.8,0.19
OKCW,75,16.5,62.4,21,1.73,0.334,0.152,0.054,0.375,0.03,1.5,2,0.9,0.49
OKEM,5,27.3,49.3,23.4,1.53,0.253,0.102,0.041,0.37,0.09,1.42,10.5,3.4,-0.11
OKEM,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
OKEM,25,13,39.7,47.3,1.63,0.344,0.223,0.066,0.407,0.117,1.23,3,2.9,-1.38
OKEM,45,5.3,40,54.7,1.68,-9.9,0.281,0.088,0.399,0.153,1.25,1.9,2.9,-1.7
OKEM,60,10,39.8,50.1,1.76,-9.9,0.268,0.083,0.372,0.158,1.24,1.4,3.1,-1.92
OKEM,75,10.4,40.3,49.3,1.81,-9.9,0.269,0.08,0.358,0.163,1.23,1.1,3.2,-2.14
OKMU,5,15.9,66.5,17.6,1.36,0.298,0.102,0.044,0.409,0.046,1.6,31.4,1.8,0.61
OKMU,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
OKMU,25,9.9,59.2,30.9,1.42,0.35,0.18,0.071,0.446,0.059,1.42,11,1.6,0.19
OKMU,45,5.3,54.3,40.4,1.61,0.367,0.245,0.071,0.421,0.127,1.2,1.7,3,-1.86
OKMU,60,5,53.4,41.6,1.7,0.377,0.269,0.068,0.405,0.16,1.15,0.6,3.5,-3.76
OKMU,75,3.6,60.1,36.3,1.75,-9.9,0.292,0.077,0.374,0.105,1.36,1.2,2.3,-0.75
PAUL,5,23.3,60.4,16.3,1.27,0.216,0.073,0.028,0.401,0.169,1.39,33.4,10,-0.39
PAUL,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
PAUL,25,19.5,58.9,21.6,1.27,0.212,0.09,0.036,0.413,0.244,1.37,23.3,14.4,-0.82
PAUL,45,20,57.7,22.2,1.39,0.234,0.095,0.038,0.392,0.146,1.39,18.9,6.9,-0.42
PAUL,60,19.2,57.5,23.3,1.45,0.254,0.102,0.041,0.386,0.099,1.42,14.8,4,-0.11
PAUL,75,18.3,53.2,28.5,1.63,0.32,0.151,0.056,0.387,0.046,1.44,3.5,1.3,0.3
PAWN,5,11.2,50.5,38.2,1.2,0.389,0.232,0.09,0.516,0.11,1.32,27.3,2.9,-0.53
PAWN,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
PAWN,25,10.2,43.6,46.2,1.31,0.426,0.273,0.087,0.508,0.087,1.27,10.5,2,-0.49
PAWN,45,8.2,44.6,47.2,1.39,0.439,0.282,0.083,0.496,0.063,1.27,5.2,1.4,-0.1
PAWN,60,9.7,36.7,53.7,1.47,0.415,0.274,0.076,0.471,0.079,1.24,4.5,1.8,-0.61
PAWN,75,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
PERK,5,43.3,40.9,15.8,1.17,0.172,0.048,0.021,0.432,0.328,1.35,47.7,27.3,-0.9
PERK,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
PERK,25,39.2,37.4,23.4,1.58,0.211,0.085,0.035,0.354,0.155,1.37,15.1,6.8,-0.66
PERK,45,32.7,37.5,29.9,1.54,0.231,0.123,0.053,0.38,0.223,1.33,14.8,8.4,-1.22
PERK,60,34.9,37,28.1,1.58,0.254,0.148,0.057,0.376,0.218,1.29,9.8,7.2,-1.44
PERK,75,38.6,30.7,30.7,1.69,0.313,0.158,0.05,0.368,0.052,1.38,2.3,1.5,0.14
PORT,5,53.1,34.1,12.8,1.64,0.199,0.067,0.026,0.331,0.141,1.38,15.9,6.7,-0.53
PORT,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
PORT,25,47.6,36.3,16.1,1.61,0.212,0.086,0.032,0.345,0.156,1.36,15.7,7,-0.69
PORT,45,45.5,36.2,18.3,1.61,0.224,0.103,0.038,0.35,0.166,1.34,13.1,6.8,-0.84
PORT,60,45.2,34.3,20.5,1.58,0.228,0.115,0.043,0.363,0.201,1.33,15.1,8,-1.08
PORT,75,51.2,31.9,16.9,1.55,0.211,0.098,0.037,0.363,0.218,1.34,22.1,9.9,-1.02
PRYO,5,14.9,66.2,18.9,1.23,0.324,0.081,0.044,0.433,0.028,1.8,40.7,1.3,0.99
PRYO,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
PRYO,25,15.8,55.1,29.1,1.4,0.294,0.119,0.052,0.416,0.062,1.49,12.6,2.2,0.31
PRYO,45,2.3,31.9,65.8,1.4,0.496,0.305,0.084,0.517,0.021,1.38,3.2,0.6,1.08
PRYO,60,2.5,33.8,63.7,1.5,0.46,0.308,0.075,0.483,0.046,1.24,2.1,1,0.13
PRYO,75,5.3,36.3,58.4,1.53,0.427,0.293,0.073,0.462,0.076,1.2,2.4,1.7,-0.95
PUTN,5,31.6,44.3,24.1,1.4,0.227,0.085,0.035,0.392,0.139,1.4,18.2,6.7,-0.33
PUTN,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
PUTN,25,24,48.2,27.9,1.6,0.261,0.114,0.045,0.366,0.087,1.4,6.8,3,-0.19
PUTN,45,22.9,48,29.1,1.34,0.263,0.108,0.046,0.42,0.108,1.42,16.9,4.5,-0.08
PUTN,60,21,49.1,30,1.32,0.255,0.149,0.068,0.436,0.286,1.33,19.6,11.7,-1.38
PUTN,75,21.8,45.5,32.7,1.43,0.294,0.156,0.062,0.422,0.125,1.34,11.5,4,-0.57
REDR,5,28.7,42.3,29,1.5,0.291,0.123,0.05,0.395,0.061,1.47,8.1,2,0.23
REDR,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
REDR,25,15.2,38.2,46.6,1.42,0.369,0.22,0.076,0.463,0.087,1.3,9.5,2.2,-0.34
REDR,45,11.6,35.1,53.3,1.57,0.394,0.272,0.071,0.439,0.107,1.19,2.8,2.5,-1.67
REDR,60,14.6,33.7,51.8,1.69,0.366,0.271,0.069,0.4,0.19,1.15,1.6,4.1,-4.06
REDR,75,13.7,34.8,51.5,1.7,0.389,0.26,0.061,0.406,0.068,1.21,0.9,1.6,-0.88
RETR,5,29,38.1,32.9,1.4,0.231,0.134,0.065,0.417,0.313,1.34,22.7,12.8,-1.45
RETR,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
RETR,25,20,41.9,38.1,1.46,0.278,0.178,0.079,0.42,0.273,1.28,13.1,8,-1.83
RETR,45,21.5,34.2,44.3,1.47,0.28,0.186,0.085,0.426,0.299,1.27,19.6,8.3,-2.03
RETR,60,5.2,32.6,62.1,1.46,0.345,0.251,0.098,0.46,0.288,1.21,16.5,6.6,-3.02
RETR,75,5.8,37.3,56.9,1.37,0.367,0.298,0.138,0.483,0.524,1.2,16,9.6,-4.22
RING,5,62.4,27,10.6,1.46,0.137,0.048,0.024,0.373,0.429,1.39,73.9,29,-1.21
RING,10,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9
RING,25,35.3,25.4,39.3,1.5,0.301,0.191,0.071,0.419,0.203,1.26,15.4,6,-1.6
